attraction_id,name,category,latitude,longitude,avg_duration_hours,avg_cost,outdoor,popularity_score,best_season,accessibility,tourist_density,safety_rating
1,Unawatuna Beach,beach,6.0104,80.2482,4.0,2000,True,0.88,1,0.9,0.75,0.85
2,Mirissa Beach,beach,5.9462,80.4586,5.0,2500,True,0.9,1,0.85,0.8,0.88
3,Bentota Beach,beach,6.4258,79.9968,4.5,3000,True,0.82,1,0.92,0.7,0.9
4,Arugam Bay,beach,6.8417,81.8353,6.0,2800,True,0.85,2,0.75,0.65,0.82
5,Negombo Beach,beach,7.2088,79.8358,3.0,1500,True,0.75,3,0.95,0.82,0.88
6,Hikkaduwa Beach,beach,6.1408,80.1031,4.0,2200,True,0.83,1,0.88,0.78,0.85
7,Tangalle Beach,beach,6.0242,80.7954,4.5,2000,True,0.78,1,0.8,0.6,0.87
8,Uppuveli Beach,beach,8.6070,81.2249,4.0,1800,True,0.72,2,0.82,0.55,0.8
9,Sigiriya Rock Fortress,historical,7.9570,80.7603,3.5,5500,True,0.95,3,0.6,0.85,0.9
10,Galle Dutch Fort,historical,6.0265,80.2168,3.0,1000,True,0.92,3,0.88,0.8,0.92
11,Polonnaruwa Ancient City,historical,7.9403,81.0188,4.5,4500,True,0.87,3,0.7,0.75,0.88
12,Anuradhapura Sacred City,historical,8.3114,80.4037,5.0,4000,True,0.9,3,0.72,0.78,0.9
13,Dambulla Cave Temple,historical,7.8606,80.6489,2.5,2500,False,0.88,3,0.65,0.82,0.92
14,Jaffna Fort,historical,9.6615,80.0071,2.0,1000,True,0.7,3,0.75,0.5,0.85
15,Temple of the Sacred Tooth Relic,temple,7.2935,80.6407,2.0,2000,False,0.93,3,0.85,0.88,0.95
16,Kelaniya Raja Maha Vihara,temple,6.9553,79.9223,1.5,500,False,0.75,3,0.9,0.7,0.92
17,Gangaramaya Temple,temple,6.9167,79.8561,1.5,500,False,0.78,3,0.92,0.75,0.9
18,Mulkirigala Rock Temple,temple,6.2667,80.7667,2.0,1500,True,0.68,3,0.6,0.45,0.85
19,Yala National Park,national_park,6.3725,81.5075,6.0,8000,True,0.93,1,0.7,0.8,0.85
20,Udawalawe National Park,national_park,6.4386,80.8819,5.0,7000,True,0.88,3,0.75,0.7,0.88
21,Wilpattu National Park,national_park,8.4853,80.0319,6.0,7500,True,0.82,1,0.65,0.55,0.82
22,Minneriya National Park,national_park,8.0208,80.8894,4.0,6500,True,0.85,2,0.72,0.65,0.87
23,Sinharaja Forest Reserve,national_park,6.4008,80.4503,5.0,5000,True,0.78,1,0.55,0.5,0.8
24,Adam's Peak (Sri Pada),mountain,6.8095,80.4995,8.0,3000,True,0.9,1,0.5,0.85,0.78
25,Ella Rock,mountain,6.8667,81.0458,4.0,1500,True,0.88,1,0.6,0.75,0.82
26,Nuwara Eliya,mountain,6.9497,80.7891,6.0,4000,True,0.92,1,0.85,0.8,0.9
27,Horton Plains National Park,mountain,6.8103,80.7958,5.0,4500,True,0.87,1,0.68,0.7,0.85
28,World's End,mountain,6.8186,80.8025,3.0,4500,True,0.89,1,0.65,0.78,0.83
29,Ramboda Falls,waterfall,7.0600,80.7028,1.5,500,True,0.75,2,0.85,0.65,0.88
30,Diyaluma Falls,waterfall,6.7333,81.0389,2.5,1000,True,0.8,2,0.7,0.6,0.82
31,Devon Falls,waterfall,6.9367,80.6533,1.0,500,True,0.72,2,0.88,0.58,0.9
32,St. Clair's Falls,waterfall,6.9333,80.6333,1.5,500,True,0.78,2,0.82,0.62,0.88
33,Kandy City,cultural,7.2906,80.6337,5.0,3500,True,0.91,3,0.9,0.85,0.92
34,Peradeniya Botanical Gardens,cultural,7.2697,80.5967,3.0,2000,True,0.85,3,0.92,0.75,0.95
35,Pinnawala Elephant Orphanage,wildlife,7.2981,80.3892,3.0,3500,True,0.87,3,0.85,0.82,0.9
36,Colombo National Museum,cultural,6.9108,79.8608,2.5,1000,False,0.72,3,0.88,0.6,0.92
37,Colombo City Tour,city,6.9271,79.8612,6.0,4000,True,0.82,3,0.95,0.88,0.9
38,Galle Face Green,city,6.9271,79.8456,2.0,1000,True,0.75,3,0.95,0.8,0.88
39,Lotus Tower,city,6.9271,79.8553,2.0,2500,False,0.68,3,0.9,0.7,0.92
40,Nine Arch Bridge Ella,adventure,6.8775,81.0628,2.0,500,True,0.9,3,0.75,0.85,0.85
41,Kithulgala White Water Rafting,adventure,6.9897,80.4181,4.0,6000,True,0.82,2,0.7,0.55,0.75
42,Knuckles Mountain Range,adventure,7.4500,80.7667,7.0,5000,True,0.8,1,0.55,0.5,0.78
43,Trincomalee,city,8.5874,81.2152,3.0,1500,True,0.78,2,0.8,0.65,0.82
44,Batticaloa,city,7.7170,81.7000,3.0,1500,True,0.65,2,0.78,0.55,0.8
45,Mannar Island,historical,8.9810,79.9044,4.0,1500,True,0.65,1,0.65,0.45,0.82
46,Pigeon Island,national_park,8.7245,81.2061,4.0,5000,True,0.85,2,0.7,0.7,0.85
47,Ritigala Strict Nature Reserve,historical,8.1189,80.6533,3.5,1000,True,0.7,3,0.6,0.4,0.85
48,Mihintale,historical,8.3506,80.5142,2.5,500,True,0.82,3,0.78,0.65,0.9
49,Aukana Buddha Statue,historical,8.0244,80.4864,1.5,500,True,0.72,3,0.75,0.5,0.88
50,Buduruwagala Temple,temple,6.7783,81.2378,1.5,500,True,0.68,3,0.65,0.45,0.88
51,Lipton's Seat,mountain,6.8253,80.9989,3.0,1000,True,0.85,1,0.55,0.65,0.85
52,Bambarakanda Falls,waterfall,6.7689,80.8294,2.0,500,True,0.78,2,0.55,0.55,0.8
53,Ravana Falls,waterfall,6.8390,81.0490,1.0,500,True,0.8,2,0.92,0.78,0.88
54,Lovers Leap Falls,waterfall,6.9744,80.7886,1.5,500,True,0.62,2,0.7,0.55,0.82
55,Kalpitiya,beach,8.2333,79.7667,5.0,4000,True,0.78,1,0.65,0.55,0.85
56,Pasikuda Beach,beach,7.9272,81.5664,4.5,2500,True,0.75,2,0.78,0.6,0.85
57,Nilaveli Beach,beach,8.6939,81.1869,4.0,2000,True,0.8,2,0.78,0.55,0.85
58,Jungle Beach Unawatuna,beach,6.0072,80.2347,2.5,500,True,0.75,1,0.65,0.65,0.82
59,Matara,city,5.9485,80.5353,3.0,1000,True,0.65,1,0.85,0.6,0.85
60,Hambantota,city,6.1241,81.1185,2.0,1000,False,0.55,2,0.85,0.5,0.85
61,Kataragama Temple,temple,6.4225,81.3347,2.5,500,False,0.85,3,0.78,0.8,0.92
62,Belilena Cave,historical,6.9928,80.4117,2.0,500,True,0.55,2,0.55,0.35,0.78
63,Pidurangala Rock,mountain,7.9700,80.7569,3.0,1000,True,0.85,3,0.65,0.75,0.82
64,Bundala National Park,national_park,6.1928,81.2167,4.0,6000,True,0.78,2,0.72,0.55,0.85
65,Kumana National Park,national_park,6.5667,81.7000,5.0,7000,True,0.65,2,0.55,0.4,0.78
66,Maduru Oya National Park,national_park,7.6167,81.1833,4.0,5500,True,0.55,2,0.5,0.3,0.78
67,Gal Oya National Park,national_park,7.2167,81.4833,4.5,6000,True,0.62,2,0.55,0.35,0.8
68,Tea Plantations Nuwara Eliya,cultural,6.9700,80.7700,2.0,1000,True,0.85,1,0.85,0.75,0.92
69,Haputale,mountain,6.7686,80.9608,4.0,1500,True,0.75,1,0.7,0.6,0.85
70,Bandarawela,city,6.8333,80.9833,3.0,1500,True,0.65,1,0.78,0.55,0.88
71,Badulla,city,6.9847,81.0578,2.5,1000,True,0.62,2,0.78,0.5,0.85
72,Mahiyangana,city,7.3333,80.9833,2.0,500,True,0.55,2,0.72,0.4,0.82
73,Ampara,city,7.2961,81.6739,2.5,1000,True,0.5,2,0.7,0.35,0.78
74,Kegalle,city,7.2514,80.3464,2.0,500,True,0.55,3,0.85,0.5,0.85
75,Ratnapura Gem Mines,cultural,6.6828,80.4036,3.0,2000,False,0.72,2,0.78,0.6,0.82
76,Kitulgala Forest,adventure,6.9897,80.4181,4.0,2500,True,0.78,2,0.65,0.55,0.78
77,Madu River Safari,adventure,6.4467,80.0411,3.0,3000,True,0.82,1,0.78,0.65,0.85
78,Koggala Lake,cultural,5.9889,80.3289,2.5,1500,True,0.65,1,0.78,0.45,0.85
79,Bentota River,adventure,6.4253,79.9978,3.0,3500,True,0.78,1,0.8,0.65,0.85
80,Bolgoda Lake,cultural,6.7333,79.9000,2.5,1500,True,0.55,3,0.85,0.45,0.88
81,Gregory Lake,cultural,6.9550,80.7689,2.0,500,True,0.78,1,0.92,0.75,0.92
82,Victoria Park Nuwara Eliya,cultural,6.9696,80.7689,1.5,500,True,0.65,1,0.95,0.65,0.95
83,Hakgala Botanical Garden,cultural,6.9197,80.8197,2.0,1500,True,0.78,1,0.85,0.65,0.92
84,Handunugoda Tea Estate,cultural,6.0700,80.2856,2.0,1500,True,0.65,2,0.78,0.45,0.88
85,Geoffrey Bawa Lunuganga,cultural,6.4639,79.9961,2.5,2500,True,0.65,3,0.75,0.45,0.92
86,Independence Square Colombo,city,6.9067,79.8606,1.5,0,True,0.75,3,0.95,0.65,0.92
87,Viharamahadevi Park,city,6.9119,79.8617,1.5,0,True,0.65,3,0.95,0.55,0.9
88,Dehiwala Zoo,wildlife,6.8550,79.8728,3.0,2500,True,0.72,3,0.92,0.75,0.88
